"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","12pF","Hadubois_Footprint_Library:Capacitor_12pF_SAMSUNG_CL10C120JB8NNNC",""
"2","C3, C4, C7","3","100nF","Hadubois_Footprint_Library:Capacitor_100nF_YAGEO_CC0603KRX7R9BB104",""
"3","C6","1","1uF","Hadubois_Footprint_Library:Capacitor_1uF_SAMSUNG_CL10A105KB8NNNC",""
"4","D1","1","Green","Hadubois_Footprint_Library:Diode_Green_TUOZHAN_TZ-P2-0603YGTCS1-0.6T",""
"5","D2","1","Red","Hadubois_Footprint_Library:Diode_Red_XINGLIGHT_XL-1608SURC-06",""
"6","J1, J2","2","~","Hadubois_Footprint_Library:PinHeader_1x12_P2.54mm",""
"7","J3","1","~","Hadubois_Footprint_Library:PinHeae_1x06_P2.54mm",""
"8","R1","1","330","Hadubois_Footprint_Library:Resistor_330Ω_ROYALOHM_0603WAF3300T5E",""
"9","R2, R3","2","10K","Hadubois_Footprint_Library:Resistor_10kΩ_YAGEO_RC0603FR-0710KL",""
"10","SW1","1","SW_Push","Hadubois_Footprint_Library:Switch_OMRON_B3U-1000P",""
"11","U1","1","ATmega328P-AU","Hadubois_Footprint_Library:MCU_MICROCHIP_ATMEGA328P-AU",""
"12","Y1","1","~","Hadubois_Footprint_Library:Crystal_Oscillator_YXC_X322516MLB4SI",""
